Correlation Matrix
============================================================

                                       Age  Experience_Years  Hours_Worked_Per_Week  Productivity_Score  Burnout_Score  Sleep_Hours_Per_Day  Work_Life_Balance_Rating  Has_Access_To_Therapist  Willing_To_Return_Onsite  Remote_Setup_Satisfaction  Team_Communication_Effectiveness  Gender_Female  Gender_Male  Gender_Non-binary  Gender_Prefer not to say  Country_Australia  Country_Brazil  Country_Canada  Country_Germany  Country_India  Country_UK  Country_USA  Job_Role_Data Scientist  Job_Role_DevOps Engineer  Job_Role_Developer  Job_Role_Product Manager  Job_Role_QA Engineer  Job_Role_UI/UX Designer  Work_Mode_Hybrid  Work_Mode_Onsite  Work_Mode_Remote  Mental_Health_Status_Good  Mental_Health_Status_Moderate  Mental_Health_Status_Poor  Exercise_Frequency_2-3x/Week  Exercise_Frequency_Daily  Exercise_Frequency_Never  Exercise_Frequency_Rarely  Internet_Issues_Frequency_Never  Internet_Issues_Frequency_Often  Internet_Issues_Frequency_Sometimes
Age                                  1.000            -0.129                  0.186              -0.057         -0.005                0.012                     0.065                   -0.131                     0.067                     -0.236                             0.097         -0.124        0.004              0.003                     0.094              0.051          -0.030          -0.095           -0.037          0.017       0.065        0.011                   -0.111                    -0.043               0.169                     0.156                -0.204                    0.049             0.111            -0.165             0.041                     -0.031                         -0.004                      0.034                        -0.152                     0.081                     0.029                      0.051                           -0.020                            0.062                               -0.037
Experience_Years                    -0.129             1.000                 -0.035               0.082         -0.178               -0.061                    -0.123                   -0.234                     0.038                      0.063                             0.040         -0.053        0.162             -0.148                     0.032              0.013           0.055          -0.008           -0.050         -0.007       0.089       -0.089                    0.205                    -0.003              -0.176                    -0.018                 0.107                   -0.068            -0.176             0.187             0.002                      0.124                          0.026                     -0.149                        -0.083                    -0.105                     0.116                      0.070                           -0.123                            0.078                                0.050
Hours_Worked_Per_Week                0.186            -0.035                  1.000              -0.006          0.040               -0.058                    -0.086                    0.045                     0.140                     -0.185                            -0.042          0.111        0.036             -0.053                    -0.071              0.109          -0.059          -0.041           -0.194          0.216       0.046       -0.045                   -0.063                    -0.006               0.068                    -0.060                 0.032                   -0.005            -0.001            -0.152             0.136                      0.014                         -0.054                      0.043                        -0.010                    -0.065                     0.061                      0.010                           -0.003                           -0.086                                0.080
Productivity_Score                  -0.057             0.082                 -0.006               1.000         -0.015               -0.018                     0.073                   -0.178                     0.043                     -0.125                             0.025         -0.198       -0.075              0.137                     0.092              0.107          -0.047           0.010            0.115         -0.105      -0.107        0.037                    0.239                    -0.114              -0.123                     0.057                 0.125                   -0.107             0.076            -0.113             0.028                     -0.095                          0.082                      0.008                        -0.132                    -0.071                     0.104                      0.101                           -0.130                            0.076                                0.059
Burnout_Score                       -0.005            -0.178                  0.040              -0.015          1.000               -0.078                    -0.091                    0.089                     0.084                      0.208                            -0.084          0.077        0.001             -0.009                    -0.054             -0.220           0.085          -0.045            0.099          0.228      -0.195        0.048                    0.041                    -0.114               0.057                     0.118                -0.120                    0.068            -0.064            -0.013             0.073                      0.031                          0.067                     -0.100                         0.065                    -0.015                    -0.092                      0.040                            0.313                           -0.150                               -0.172
Sleep_Hours_Per_Day                  0.012            -0.061                 -0.058              -0.018         -0.078                1.000                    -0.061                    0.044                    -0.017                      0.043                            -0.025          0.175       -0.077             -0.101                     0.051             -0.030           0.206          -0.088            0.037         -0.131      -0.104        0.067                   -0.091                     0.013               0.089                     0.013                -0.077                    0.034             0.002            -0.083             0.072                     -0.082                         -0.146                      0.232                        -0.017                     0.031                    -0.051                      0.040                           -0.073                            0.172                               -0.083
Work_Life_Balance_Rating             0.065            -0.123                 -0.086               0.073         -0.091               -0.061                     1.000                    0.114                     0.167                     -0.052                             0.086         -0.258        0.002              0.138                     0.057              0.006           0.065           0.056           -0.046         -0.049      -0.021       -0.006                    0.121                    -0.081              -0.041                     0.131                -0.005                   -0.057            -0.019            -0.096             0.103                      0.066                         -0.018                     -0.045                        -0.153                     0.026                     0.165                     -0.033                            0.040                           -0.111                                0.061
Has_Access_To_Therapist             -0.131            -0.234                  0.045              -0.178          0.089                0.044                     0.114                    1.000                     0.117                      0.125                             0.101          0.099       -0.070              0.015                    -0.022             -0.046          -0.017           0.162           -0.074          0.082      -0.123        0.053                   -0.080                     0.027              -0.045                     0.092                 0.030                   -0.019            -0.007             0.068            -0.054                     -0.070                          0.092                     -0.027                         0.020                    -0.021                     0.068                     -0.069                            0.118                           -0.069                               -0.053
Willing_To_Return_Onsite             0.067             0.038                  0.140               0.043          0.084               -0.017                     0.167                    0.117                     1.000                     -0.143                             0.151         -0.032        0.035             -0.055                     0.049              0.004           0.074           0.010           -0.090          0.068      -0.194        0.131                    0.040                     0.006               0.033                     0.080                -0.040                   -0.090            -0.078             0.090            -0.006                     -0.053                          0.020                      0.031                        -0.095                     0.006                     0.090                      0.002                            0.088                           -0.093                               -0.002
Remote_Setup_Satisfaction           -0.236             0.063                 -0.185              -0.125          0.208                0.043                    -0.052                    0.125                    -0.143                      1.000                            -0.062          0.063        0.037             -0.084                     0.001             -0.123          -0.100           0.066           -0.023          0.207      -0.063        0.059                    0.007                     0.031              -0.161                     0.115                -0.057                    0.106             0.125             0.048            -0.162                      0.163                         -0.028                     -0.131                         0.085                     0.032                    -0.084                     -0.034                            0.032                            0.085                               -0.107
Team_Communication_Effectiveness     0.097             0.040                 -0.042               0.025         -0.084               -0.025                     0.086                    0.101                     0.151                     -0.062                             1.000          0.204       -0.149             -0.104                     0.107             -0.082           0.045           0.022            0.039         -0.014       0.130       -0.137                   -0.104                     0.148              -0.144                     0.033                 0.032                    0.017            -0.003             0.134            -0.117                      0.008                          0.018                     -0.026                         0.074                    -0.081                    -0.058                      0.060                           -0.068                            0.036                                0.034
Gender_Female                       -0.124            -0.053                  0.111              -0.198          0.077                0.175                    -0.258                    0.099                    -0.032                      0.063                             0.204          1.000       -0.264             -0.277                    -0.227              0.042          -0.097           0.175           -0.163          0.042       0.036        0.004                   -0.134                    -0.006               0.075                    -0.026                 0.086                   -0.039            -0.161             0.286            -0.102                     -0.075                         -0.138                      0.217                         0.198                    -0.075                    -0.173                      0.043                            0.066                            0.024                               -0.086
Gender_Male                          0.004             0.162                  0.036              -0.075          0.001               -0.077                     0.002                   -0.070                     0.035                      0.037                            -0.149         -0.264        1.000             -0.449                    -0.368             -0.091          -0.048          -0.130            0.113         -0.021       0.034        0.091                    0.000                    -0.032               0.038                     0.023                -0.055                    0.034             0.190             0.010            -0.191                      0.048                         -0.018                     -0.028                        -0.068                    -0.084                     0.259                     -0.112                            0.023                           -0.040                                0.013
Gender_Non-binary                    0.003            -0.148                 -0.053               0.137         -0.009               -0.101                     0.138                    0.015                    -0.055                     -0.084                            -0.104         -0.277       -0.449              1.000                    -0.385              0.033          -0.065          -0.066            0.094          0.101      -0.098        0.015                    0.129                    -0.106               0.067                     0.009                -0.021                   -0.042             0.020            -0.113             0.082                      0.019                         -0.007                     -0.011                        -0.094                     0.205                    -0.065                     -0.034                           -0.009                           -0.113                                0.111
Gender_Prefer not to say             0.094             0.032                 -0.071               0.092         -0.054                0.051                     0.057                   -0.022                     0.049                      0.001                             0.107         -0.227       -0.368             -0.385                     1.000              0.027           0.202           0.069           -0.092         -0.123       0.041       -0.117                   -0.031                     0.154              -0.175                    -0.013                 0.012                    0.041            -0.096            -0.120             0.198                     -0.010                          0.139                     -0.135                         0.015                    -0.072                    -0.066                      0.123                           -0.069                            0.147                               -0.065
Country_Australia                    0.051             0.013                  0.109               0.107         -0.220               -0.030                     0.006                   -0.046                     0.004                     -0.123                            -0.082          0.042       -0.091              0.033                     0.027              1.000          -0.153          -0.111           -0.142         -0.124      -0.165       -0.181                   -0.011                    -0.032               0.133                     0.001                -0.096                    0.002            -0.111             0.083             0.032                      0.119                         -0.012                     -0.104                        -0.006                     0.045                    -0.063                      0.027                           -0.057                            0.083                               -0.019
Country_Brazil                      -0.030             0.055                 -0.059              -0.047          0.085                0.206                     0.065                   -0.017                     0.074                     -0.100                             0.045         -0.097       -0.048             -0.065                     0.202             -0.153           1.000          -0.137           -0.176         -0.153      -0.204       -0.225                    0.127                    -0.100               0.043                    -0.137                 0.055                    0.009            -0.074             0.114            -0.031                     -0.107                          0.052                      0.051                         0.032                    -0.034                     0.114                     -0.118                            0.137                            0.114                               -0.237
Country_Canada                      -0.095            -0.008                 -0.041               0.010         -0.045               -0.088                     0.056                    0.162                     0.010                      0.066                             0.022          0.175       -0.130             -0.066                     0.069             -0.111          -0.137           1.000           -0.127         -0.111      -0.147       -0.162                    0.012                     0.086              -0.076                    -0.099                 0.105                   -0.056            -0.146             0.132             0.022                     -0.053                          0.042                      0.009                        -0.118                    -0.083                     0.053                      0.151                           -0.158                            0.053                                0.107
Country_Germany                     -0.037            -0.050                 -0.194               0.115          0.099                0.037                    -0.046                   -0.074                    -0.090                     -0.023                             0.039         -0.163        0.113              0.094                    -0.092             -0.142          -0.176          -0.127            1.000         -0.142      -0.189       -0.208                   -0.038                     0.064              -0.137                    -0.026                 0.086                    0.036             0.146            -0.108            -0.043                     -0.075                          0.040                      0.032                        -0.123                     0.064                     0.024                      0.043                           -0.054                            0.024                                0.032
Country_India                        0.017            -0.007                  0.216              -0.105          0.228               -0.131                    -0.049                    0.082                     0.068                      0.207                            -0.014          0.042       -0.021              0.101                    -0.123             -0.124          -0.153          -0.111           -0.142          1.000      -0.165       -0.181                   -0.011                     0.045               0.054                     0.001                 0.064                   -0.165             0.093            -0.063            -0.033                      0.188                         -0.078                     -0.104                         0.137                    -0.032                    -0.063                     -0.048                            0.077                           -0.208                                0.112
Country_UK                           0.065             0.089                  0.046              -0.107         -0.195               -0.104                    -0.021                   -0.123                    -0.194                     -0.063                             0.130          0.036        0.034             -0.098                     0.041             -0.165          -0.204          -0.147           -0.189         -0.165       1.000       -0.242                   -0.156                     0.191              -0.050                     0.035                -0.039                   -0.016             0.059            -0.040            -0.020                      0.034                         -0.152                      0.125                         0.172                     0.065                    -0.159                     -0.080                           -0.016                           -0.100                                0.106
Country_USA                          0.011            -0.089                 -0.045               0.037          0.048                0.067                    -0.006                    0.053                     0.131                      0.059                            -0.137          0.004        0.091              0.015                    -0.117             -0.181          -0.225          -0.162           -0.208         -0.181      -0.242        1.000                    0.074                    -0.215               0.036                     0.181                -0.135                    0.142             0.004            -0.082             0.069                     -0.070                          0.102                     -0.038                        -0.103                    -0.037                     0.086                      0.055                            0.033                            0.030                               -0.060
Job_Role_Data Scientist             -0.111             0.205                 -0.063               0.239          0.041               -0.091                     0.121                   -0.080                     0.040                      0.007                            -0.104         -0.134        0.000              0.129                    -0.031             -0.011           0.127           0.012           -0.038         -0.011      -0.156        0.074                    1.000                    -0.177              -0.172                    -0.105                -0.167                   -0.156            -0.092             0.182            -0.075                      0.000                          0.082                     -0.086                        -0.134                     0.064                     0.182                     -0.109                           -0.105                           -0.046                                0.144
Job_Role_DevOps Engineer            -0.043            -0.003                 -0.006              -0.114         -0.114                0.013                    -0.081                    0.027                     0.006                      0.031                             0.148         -0.006       -0.032             -0.106                     0.154             -0.032          -0.100           0.086            0.064          0.045       0.191       -0.215                   -0.177                     1.000              -0.274                    -0.167                -0.266                   -0.249             0.141            -0.040            -0.099                      0.179                         -0.217                      0.050                         0.099                     0.009                     0.015                     -0.129                           -0.137                            0.236                               -0.078
Job_Role_Developer                   0.169            -0.176                  0.068              -0.123          0.057                0.089                    -0.041                   -0.045                     0.033                     -0.161                            -0.144          0.075        0.038              0.067                    -0.175              0.133           0.043          -0.076           -0.137          0.054      -0.050        0.036                   -0.172                    -0.274               1.000                    -0.162                -0.258                   -0.242             0.108            -0.138             0.019                      0.038                         -0.100                      0.067                         0.061                    -0.037                    -0.138                      0.113                            0.033                           -0.138                                0.091
Job_Role_Product Manager             0.156            -0.018                 -0.060               0.057          0.118                0.013                     0.131                    0.092                     0.080                      0.115                             0.033         -0.026        0.023              0.009                    -0.013              0.001          -0.137          -0.099           -0.026          0.001       0.035        0.181                   -0.105                    -0.167              -0.162                     1.000                -0.157                   -0.147            -0.072            -0.027             0.093                      0.099                         -0.030                     -0.066                        -0.040                     0.002                    -0.027                      0.069                            0.209                           -0.186                               -0.037
Job_Role_QA Engineer                -0.204             0.107                  0.032               0.125         -0.120               -0.077                    -0.005                    0.030                    -0.040                     -0.057                             0.032          0.086       -0.055             -0.021                     0.012             -0.096           0.055           0.105            0.086          0.064      -0.039       -0.135                   -0.167                    -0.266              -0.258                    -0.157                 1.000                   -0.234            -0.245             0.103             0.142                     -0.273                          0.124                      0.139                        -0.089                    -0.024                    -0.011                      0.129                            0.052                           -0.068                                0.010
Job_Role_UI/UX Designer              0.049            -0.068                 -0.005              -0.107          0.068                0.034                    -0.057                   -0.019                    -0.090                      0.106                             0.017         -0.039        0.034             -0.042                     0.041              0.002           0.009          -0.056            0.036         -0.165      -0.016        0.142                   -0.156                    -0.249              -0.242                    -0.147                -0.234                    1.000             0.114            -0.040            -0.073                     -0.023                          0.169                     -0.154                         0.056                     0.003                     0.019                     -0.080                           -0.016                            0.138                               -0.108
Work_Mode_Hybrid                     0.111            -0.176                 -0.001               0.076         -0.064                0.002                    -0.019                   -0.007                    -0.078                      0.125                            -0.003         -0.161        0.190              0.020                    -0.096             -0.111          -0.074          -0.146            0.146          0.093       0.059        0.004                   -0.092                     0.141               0.108                    -0.072                -0.245                    0.114             1.000            -0.416            -0.585                      0.005                          0.020                     -0.026                        -0.201                    -0.013                     0.214                      0.004                           -0.025                            0.069                               -0.038
Work_Mode_Onsite                    -0.165             0.187                 -0.152              -0.113         -0.013               -0.083                    -0.096                    0.068                     0.090                      0.048                             0.134          0.286        0.010             -0.113                    -0.120              0.083           0.114           0.132           -0.108         -0.063      -0.040       -0.082                    0.182                    -0.040              -0.138                    -0.027                 0.103                   -0.040            -0.416             1.000            -0.494                      0.060                          0.006                     -0.065                         0.087                     0.015                    -0.040                     -0.066                            0.043                            0.064                               -0.100
Work_Mode_Remote                     0.041             0.002                  0.136               0.028          0.073                0.072                     0.103                   -0.054                    -0.006                     -0.162                            -0.117         -0.102       -0.191              0.082                     0.198              0.032          -0.031           0.022           -0.043         -0.033      -0.020        0.069                   -0.075                    -0.099               0.019                     0.093                 0.142                   -0.073            -0.585            -0.494             1.000                     -0.058                         -0.024                      0.082                         0.114                    -0.001                    -0.170                      0.055                           -0.015                           -0.123                                0.125
Mental_Health_Status_Good           -0.031             0.124                  0.014              -0.095          0.031               -0.082                     0.066                   -0.070                    -0.053                      0.163                             0.008         -0.075        0.048              0.019                    -0.010              0.119          -0.107          -0.053           -0.075          0.188       0.034       -0.070                    0.000                     0.179               0.038                     0.099                -0.273                   -0.023             0.005             0.060            -0.058                      1.000                         -0.513                     -0.449                         0.126                    -0.032                    -0.090                     -0.010                           -0.023                            0.060                               -0.031
Mental_Health_Status_Moderate       -0.004             0.026                 -0.054               0.082          0.067               -0.146                    -0.018                    0.092                     0.020                     -0.028                             0.018         -0.138       -0.018             -0.007                     0.139             -0.012           0.052           0.042            0.040         -0.078      -0.152        0.102                    0.082                    -0.217              -0.100                    -0.030                 0.124                    0.169             0.020             0.006            -0.024                     -0.513                          1.000                     -0.537                        -0.121                    -0.117                     0.147                      0.091                            0.203                           -0.182                               -0.035
Mental_Health_Status_Poor            0.034            -0.149                  0.043               0.008         -0.100                0.232                    -0.045                   -0.027                     0.031                     -0.131                            -0.026          0.217       -0.028             -0.011                    -0.135             -0.104           0.051           0.009            0.032         -0.104       0.125       -0.038                   -0.086                     0.050               0.067                    -0.066                 0.139                   -0.154            -0.026            -0.065             0.082                     -0.449                         -0.537                      1.000                         0.002                     0.153                    -0.065                     -0.084                           -0.189                            0.131                                0.067
Exercise_Frequency_2-3x/Week        -0.152            -0.083                 -0.010              -0.132          0.065               -0.017                    -0.153                    0.020                    -0.095                      0.085                             0.074          0.198       -0.068             -0.094                     0.015             -0.006           0.032          -0.118           -0.123          0.137       0.172       -0.103                   -0.134                     0.099               0.061                    -0.040                -0.089                    0.056            -0.201             0.087             0.114                      0.126                         -0.121                      0.002                         1.000                    -0.331                    -0.370                     -0.350                            0.196                           -0.014                               -0.179
Exercise_Frequency_Daily             0.081            -0.105                 -0.065              -0.071         -0.015                0.031                     0.026                   -0.021                     0.006                      0.032                            -0.081         -0.075       -0.084              0.205                    -0.072              0.045          -0.034          -0.083            0.064         -0.032       0.065       -0.037                    0.064                     0.009              -0.037                     0.002                -0.024                    0.003            -0.013             0.015            -0.001                     -0.032                         -0.117                      0.153                        -0.331                     1.000                    -0.315                     -0.298                           -0.086                           -0.040                                0.120
Exercise_Frequency_Never             0.029             0.116                  0.061               0.104         -0.092               -0.051                     0.165                    0.068                     0.090                     -0.084                            -0.058         -0.173        0.259             -0.065                    -0.066             -0.063           0.114           0.053            0.024         -0.063      -0.159        0.086                    0.182                     0.015              -0.138                    -0.027                -0.011                    0.019             0.214            -0.040            -0.170                     -0.090                          0.147                     -0.065                        -0.370                    -0.315                     1.000                     -0.333                           -0.005                            0.012                               -0.007
Exercise_Frequency_Rarely            0.051             0.070                  0.010               0.101          0.040                0.040                    -0.033                   -0.069                     0.002                     -0.034                             0.060          0.043       -0.112             -0.034                     0.123              0.027          -0.118           0.151            0.043         -0.048      -0.080        0.055                   -0.109                    -0.129               0.113                     0.069                 0.129                   -0.080             0.004            -0.066             0.055                     -0.010                          0.091                     -0.084                        -0.350                    -0.298                    -0.333                      1.000                           -0.118                            0.041                                0.079
Internet_Issues_Frequency_Never     -0.020            -0.123                 -0.003              -0.130          0.313               -0.073                     0.040                    0.118                     0.088                      0.032                            -0.068          0.066        0.023             -0.009                    -0.069             -0.057           0.137          -0.158           -0.054          0.077      -0.016        0.033                   -0.105                    -0.137               0.033                     0.209                 0.052                   -0.016            -0.025             0.043            -0.015                     -0.023                          0.203                     -0.189                         0.196                    -0.086                    -0.005                     -0.118                            1.000                           -0.435                               -0.587
Internet_Issues_Frequency_Often      0.062             0.078                 -0.086               0.076         -0.150                0.172                    -0.111                   -0.069                    -0.093                      0.085                             0.036          0.024       -0.040             -0.113                     0.147              0.083           0.114           0.053            0.024         -0.208      -0.100        0.030                   -0.046                     0.236              -0.138                    -0.186                -0.068                    0.138             0.069             0.064            -0.123                      0.060                         -0.182                      0.131                        -0.014                    -0.040                     0.012                      0.041                           -0.435                            1.000                               -0.474
Internet_Issues_Frequency_Sometimes -0.037             0.050                  0.080               0.059         -0.172               -0.083                     0.061                   -0.053                    -0.002                     -0.107                             0.034         -0.086        0.013              0.111                    -0.065             -0.019          -0.237           0.107            0.032          0.112       0.106       -0.060                    0.144                    -0.078               0.091                    -0.037                 0.010                   -0.108            -0.038            -0.100             0.125                     -0.031                         -0.035                      0.067                        -0.179                     0.120                    -0.007                      0.079                           -0.587                           -0.474                                1.000
